date,rainfall_mm
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,22
2015-06-10,13
2015-06-11,3
2015-06-12,0
2015-06-13,6
2015-06-14,3
2015-06-16,1
2015-06-17,0
2015-06-18,63
2015-06-20,0
2015-06-21,5
2015-06-22,1
2015-06-23,0
2015-06-24,9
2015-06-25,0.9
2015-06-26,9
2015-06-27,0.5
2015-06-28,5
2015-06-30,6
2015-07-01,0
2015-07-02,0
2015-07-03,21
2015-07-04,12
2015-07-05,0.1
2015-07-06,1
2015-07-07,0
2015-07-09,6
2015-07-10,1
2015-07-12,0
2015-07-14,53
2015-07-15,8
2015-07-16,2
2015-07-17,0
2015-07-18,9
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,19
2015-07-23,0.8
2015-07-24,1
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0.2
2015-07-31,2
2015-08-01,0.2
2015-08-02,0
2015-08-03,0.2
2015-08-04,0
2015-08-05,3
2015-08-06,0.1
2015-08-07,0
2015-08-09,48
2015-08-10,9
2015-08-11,12
2015-08-13,2
2015-08-14,0.2
2015-08-15,0.1
2015-08-16,0
2015-08-17,14
2015-08-18,0.5
2015-08-19,53
2015-08-20,23
2015-08-21,0.1
2015-08-22,0
2015-08-23,2
2015-08-24,0
2015-08-25,0
2015-08-27,27
2015-08-28,0.3
2015-08-29,0
2015-08-31,5
2015-09-01,13
2015-09-02,2.4
2015-09-03,2
2015-09-04,0
2015-09-05,0.2
2015-09-06,0
2015-09-07,0
2015-09-08,2
2015-09-09,0
2015-09-10,0
2015-09-11,75
2015-09-12,0
2015-09-13,12
2015-09-14,16
2015-09-15,1
2015-09-16,0.2
2015-09-17,0
2015-09-18,0
2015-09-19,6
2015-09-20,14
2015-09-21,0.4
2015-09-22,0.5
2015-09-23,1
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-06,22
2016-06-07,5
2016-06-08,70
2016-06-09,0.2
2016-06-11,0.7
2016-06-12,2
2016-06-13,0.5
2016-06-14,4.3
2016-06-15,0
2016-06-16,0.9
2016-06-17,3
2016-06-18,0
2016-06-19,3.7
2016-06-20,11
2016-06-21,60
2016-06-22,12
2016-06-23,18
2016-06-24,26
2016-06-25,35
2016-06-26,1
2016-06-27,0.2
2016-06-28,0
2016-06-29,0
2016-06-30,7
2016-07-01,6
2016-07-02,0
2016-07-03,6
2016-07-05,8
2016-07-06,2
2016-07-07,0.3
2016-07-08,0
2016-07-10,6
2016-07-11,0
2016-07-12,0.5
2016-07-13,3
2016-07-14,0.1
2016-07-15,37
2016-07-16,34
2016-07-17,24
2016-07-18,5
2016-07-20,73
2016-07-21,25
2016-07-22,51
2016-07-23,16
2016-07-24,12
2016-07-25,53
2016-07-26,9
2016-07-27,5
2016-07-28,12
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,10
2016-08-02,5
2016-08-03,0
2016-08-04,0
2016-08-05,2.8
2016-08-06,0.4
2016-08-07,0
2016-08-08,6.8
2016-08-09,4
2016-08-10,1
2016-08-11,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,8
2016-08-17,0
2016-08-18,0.7
2016-08-19,0
2016-08-20,0
2016-08-21,27
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,7
2016-08-26,0
2016-08-27,0
2016-08-28,6
2016-08-29,56
2016-08-30,16
2016-08-31,1
2016-09-01,8
2016-09-02,51
2016-09-03,14
2016-09-04,7
2016-09-05,5
2016-09-06,0.6
2016-09-07,0.5
2016-09-08,11
2016-09-09,0
2016-09-10,0.3
2016-09-11,6
2016-09-12,9
2016-09-13,0
2016-09-14,4
2016-09-15,4
2016-09-16,11
2016-09-17,75
2016-09-18,0.5
2016-09-19,17
2016-09-20,23
2016-09-21,25
2016-09-22,0
2016-09-23,33
2016-09-24,90
2016-09-25,25
2016-09-26,5
2016-09-27,0.3
2016-09-28,4
2016-09-29,1
2016-09-30,0
2016-10-01,0
2016-10-02,10
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,6
2016-10-07,17
2016-10-08,0
2016-10-09,0.3
2016-10-10,0
2016-10-11,3
2016-10-12,0
2016-10-13,0.3
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-30,0
2016-10-31,0
2017-06-01,0
2017-06-02,23
2017-06-03,0
2017-06-04,21
2017-06-05,0
2017-06-06,0
2017-06-07,4
2017-06-08,10
2017-06-09,14
2017-06-10,3
2017-06-11,0
2017-06-12,22
2017-06-13,0
2017-06-14,0
2017-06-15,3
2017-06-16,1
2017-06-17,0
2017-06-18,0
2017-06-19,45
2017-06-20,63
2017-06-21,9
2017-06-22,0.9
2017-06-23,0
2017-06-24,9
2017-06-25,9
2017-06-26,0
2017-06-27,10
2017-06-28,1
2017-06-29,0
2017-06-30,4
2017-07-01,0
2017-07-02,3
2017-07-03,10
2017-07-04,35
2017-07-05,6
2017-07-06,15
2017-07-07,7
2017-07-08,0
2017-07-09,65
2017-07-10,3
2017-07-11,10
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,0.1
2017-07-20,6
2017-07-21,0
2017-07-22,0
2017-07-23,0.8
2017-07-24,0
2017-07-25,3
2017-07-26,1
2017-07-27,0
2017-07-28,17
2017-07-29,1
2017-07-30,10
2017-07-31,9
2017-08-01,0
2017-08-02,18
2017-08-03,0
2017-08-04,3
2017-08-05,0
